DATE_TIME,current_contract,next_contract,carry_contract
2005-03-30 06:00:00,20050400,20050700,20050700
2005-06-29 05:00:00,20050700,20051000,20051000
2005-09-29 05:00:00,20051000,20060100,20060100
2005-12-30 06:00:00,20060100,20060400,20060400
2006-03-30 06:00:00,20060400,20060700,20060700
2006-06-29 05:00:00,20060700,20061000,20061000
2006-09-29 05:00:00,20061000,20070100,20070100
2007-01-03 06:00:00,20070100,20070400,20070400
2007-03-30 05:00:00,20070400,20070700,20070700
2007-06-29 05:00:00,20070700,20071000,20071000
2007-10-01 05:00:00,20071000,20080100,20080100
2008-01-02 06:00:00,20080100,20080400,20080400
2008-04-01 05:00:00,20080400,20080700,20080700
2008-07-01 05:00:00,20080700,20081000,20081000
2008-09-30 05:00:00,20081000,20090100,20090100
2008-12-31 06:00:00,20090100,20090400,20090400
2009-03-31 05:00:00,20090400,20090700,20090700
2009-06-30 05:00:00,20090700,20091000,20091000
2009-09-30 05:00:00,20091000,20100100,20100100
2009-12-30 06:00:00,20100100,20100400,20100400
2010-03-31 05:00:00,20100400,20100700,20100700
2010-06-30 05:00:00,20100700,20101000,20101000
2010-09-29 05:00:00,20101000,20110100,20110100
2010-12-30 06:00:00,20110100,20110400,20110400
2011-03-30 05:00:00,20110400,20110700,20110700
2011-06-29 05:00:00,20110700,20111000,20111000
2011-09-29 05:00:00,20111000,20120100,20120100
2011-12-30 06:00:00,20120100,20120400,20120400
2012-03-30 05:00:00,20120400,20120700,20120700
2012-06-29 05:00:00,20120700,20121000,20121000
2012-10-01 05:00:00,20121000,20130100,20130100
2013-01-02 06:00:00,20130100,20130400,20130400
2013-04-02 05:00:00,20130400,20130700,20130700
2013-07-01 05:00:00,20130700,20131000,20131000
2013-10-01 05:00:00,20131000,20140100,20140100
2013-12-31 06:00:00,20140100,20140400,20140400
2014-04-01 05:00:00,20140400,20140700,20140700
2014-07-01 05:00:00,20140700,20141000,20141000
2014-09-30 05:00:00,20141000,20150100,20150100
2014-12-31 06:00:00,20150100,20150400,20150400
2015-03-31 05:00:00,20150400,20150700,20150700
2015-06-30 05:00:00,20150700,20151000,20151000
2015-09-30 05:00:00,20151000,20160100,20160100
2015-12-30 06:00:00,20160100,20160400,20160400
2016-03-30 05:00:00,20160400,20160700,20160700
2016-06-29 05:00:00,20160700,20161000,20161000
2016-09-29 05:00:00,20161000,20170100,20170100
2016-12-30 06:00:00,20170100,20170400,20170400
2017-03-30 05:00:00,20170400,20170700,20170700
2017-06-29 05:00:00,20170700,20171000,20171000
2017-09-29 05:00:00,20171000,20180100,20180100
2018-01-02 06:00:00,20180100,20180400,20180400
2018-04-02 05:00:00,20180400,20180700,20180700
2018-06-29 05:00:00,20180700,20181000,20181000
2018-10-01 05:00:00,20181000,20190100,20190100
2019-01-02 06:00:00,20190100,20190400,20190400
2019-04-01 05:00:00,20190400,20190700,20190700
2019-07-01 05:00:00,20190700,20191000,20191000
2019-10-01 05:00:00,20191000,20200100,20200100
2019-12-31 06:00:00,20200100,20200400,20200400
2020-03-31 05:00:00,20200400,20200700,20200700
2020-06-30 05:00:00,20200700,20201000,20201000
2020-09-30 05:00:00,20201000,20210100,20210100
2020-12-30 06:00:00,20210100,20210400,20210400
2021-03-31 05:00:00,20210400,20210700,20210700
2021-06-30 05:00:00,20210700,20211000,20211000
2021-09-28 06:00:00,20211000,20220100,20220100
2021-12-29 07:00:00,20220100,20220400,20220400
2022-03-29 01:00:00,20220400,20220700,20220700
2022-06-28 23:00:00,20220700,20221000,20221000
2022-09-28 05:00:00,20221000,20230100,20230100
2022-12-23 01:00:00,20230100,20230400,20230400
2023-03-23 23:00:00,20230400,20230700,20230700
2023-06-26 23:00:00,20230700,20231000,20231000
2023-09-21 23:00:00,20231000,20240100,20240100
2023-12-22 01:00:00,20240100,20240400,20240400
2024-03-14 23:00:00,20240400,20240700,20240700
2024-06-19 01:00:00,20240700,20241000,20241000
2024-09-18 23:00:00,20241000,20250100,20250100
2024-12-18 19:00:01,20250100,20250400,20250400
2025-03-17 20:00:02,20250400,20250700,20250700
2025-06-18 23:00:01,20250700,20251000,20251000
2025-09-19 19:00:01,20251000,20260100,20260100
2025-09-23 19:00:00,20260100,20260400,20260400
